player_name,position,goals,assists,shots,xG,xA,time,h_team,a_team,h_goals,a_goals,key_passes
Ashley Young 631,ML,0,0,0,0.0,0.1306169927120208,90,Leicester,Manchester United,1,1,1
Marc Albrighton 753,ML,0,0,1,0.0156051004305481,0.0,71,Leicester,Manchester United,1,1,0
N&#039;Golo Kanté 751,MC,0,0,1,0.0245047993957996,0.0188740994781255,90,Leicester,Manchester United,1,1,1
Riyad Mahrez 750,MR,0,0,1,0.0574424006044864,0.5851140022277832,90,Leicester,Manchester United,1,1,1
Eric Dier 643,MC,0,0,0,0.0,0.0204301998019218,90,Tottenham,Chelsea,0,0,1
Cheikhou Kouyaté 532,MC,0,0,1,0.3852219879627228,0.0583186000585556,90,West Ham,West Bromwich Albion,1,1,1
Manuel Lanzini 535,MC,0,0,2,0.1406269967555999,0.1689220070838928,90,West Ham,West Bromwich Albion,1,1,3
Adam Lallana 486,MC,0,0,1,0.1084709987044334,0.0203654002398252,90,Liverpool,Swansea,1,0,2
André Ayew 713,ML,0,0,0,0.0,0.0347678996622562,90,Liverpool,Swansea,1,0,1
James Milner 489,MC,1,0,2,0.8203750252723694,0.0,90,Liverpool,Swansea,1,0,0
Marc Albrighton 753,ML,0,1,2,0.1196969971060752,0.289896011352539,90,Swansea,Leicester,0,3,2
N&#039;Golo Kanté 751,MC,0,1,0,0.0,0.4369490146636963,90,Swansea,Leicester,0,3,2
Riyad Mahrez 750,MR,3,0,5,1.181439995765686,0.1125129982829094,90,Swansea,Leicester,0,3,1
Nathan Redmond 790,MR,0,0,0,0.0,0.0,48,Watford,Norwich,2,0,0
Jonny Evans 807,MC,0,0,1,0.0282985009253025,0.0832955986261367,90,West Bromwich Albion,Tottenham,1,1,2
Cheikhou Kouyaté 532,MC,0,0,0,0.0,0.0,90,Manchester United,West Ham,0,0,0
Idrissa Gueye 668,MC,0,0,1,0.0114676998928189,0.0,90,Southampton,Aston Villa,1,1,0
Junior Stanislas 463,ML,0,0,3,0.192107006907463,0.0344424992799758,90,Chelsea,Bournemouth,0,1,2
Matt Ritchie 461,MR,0,0,2,0.0608335994184017,0.0957354009151458,90,Chelsea,Bournemouth,0,1,1
Jack Colback 767,MC,0,0,0,0.0,0.0371969006955623,78,Newcastle United,Liverpool,2,0,1
James McArthur 633,MC,0,0,1,0.0373075008392334,0.0391859002411365,90,Everton,Crystal Palace,1,1,2
Cédric Soares 847,MR,0,0,0,0.0,0.1446260064840316,90,Crystal Palace,Southampton,1,0,1
James McArthur 633,MC,0,0,0,0.0,0.0779815018177032,90,Crystal Palace,Southampton,1,0,1
Oriol Romeu 842,MC,0,0,1,0.0221204999834299,0.0,81,Crystal Palace,Southampton,1,0,0
Wilfried Zaha 522,MR,0,0,3,0.2497060000896453,0.041210401803255,90,Crystal Palace,Southampton,1,0,1
Cheikhou Kouyaté 532,MC,0,0,4,0.2506040036678314,0.1706060022115707,90,West Ham,Stoke,0,0,3
Michail Antonio 531,ML,0,0,5,0.2107429951429367,0.0691414028406143,85,West Ham,Stoke,0,0,2
Junior Stanislas 463,ML,1,0,3,0.0790157988667488,0.127137005329132,90,Bournemouth,Manchester United,2,1,1
Matt Ritchie 461,MR,0,1,2,0.0520256012678146,0.0923499017953872,90,Bournemouth,Manchester United,2,1,1
Idrissa Gueye 668,MC,0,0,3,0.0512671992182731,0.0263436008244752,79,Aston Villa,Arsenal,0,2,1
James Milner 489,MC,0,0,4,0.1155529990792274,0.1490769982337951,90,Liverpool,West Bromwich Albion,2,2,2
Jordan Henderson 605,MC,1,1,5,0.6081129908561707,0.0113302003592252,90,Liverpool,West Bromwich Albion,2,2,1
Jack Colback 767,MC,0,0,0,0.0,0.0,90,Tottenham,Newcastle United,1,2,0
Marc Albrighton 753,ML,0,1,2,0.0511218011379241,0.1753949970006942,90,Leicester,Chelsea,2,1,3
N&#039;Golo Kanté 751,MC,0,0,1,0.0150699997320771,0.0511218011379241,90,Leicester,Chelsea,2,1,2
Riyad Mahrez 750,MR,1,1,3,0.1329170018434524,0.3551129996776581,85,Leicester,Chelsea,2,1,1
Jonny Evans 807,MC,0,0,0,0.0,0.0,90,West Bromwich Albion,Bournemouth,1,2,0
