player_name,position,goals,assists,shots,xG,xA,time,h_team,a_team,h_goals,a_goals,key_passes
André Ayew 713,FWR,0,0,1,0.0679598003625869,0.0,84,Manchester City,Swansea,2,1,0
Anthony Martial 553,FW,0,0,2,0.3214049935340881,0.0,90,Bournemouth,Manchester United,2,1,0
Jordan Ayew 672,FWL,0,0,1,0.0279805008322,0.0266171004623174,90,Aston Villa,Arsenal,0,2,1
Adam Lallana 486,FWR,0,1,1,0.3892970085144043,0.5572159886360168,87,Liverpool,West Bromwich Albion,2,2,3
Philippe Coutinho 488,FWL,0,0,4,0.1523829996585846,0.0983159020543098,73,Liverpool,West Bromwich Albion,2,2,2
Salomón Rondón 813,FW,0,1,1,0.0757388025522232,0.5468540191650391,90,Liverpool,West Bromwich Albion,2,2,1
Harry Kane 647,FW,0,0,2,0.047104001045227,0.1324419975280761,90,Tottenham,Newcastle United,1,2,2
Diego Costa 802,FW,0,0,1,0.3498780131340027,0.0,90,Leicester,Chelsea,2,1,0
Jamie Vardy 755,FW,1,0,1,0.3551129996776581,0.0,90,Leicester,Chelsea,2,1,0
Salomón Rondón 813,FW,0,0,3,0.1875559985637664,0.0,90,West Bromwich Albion,Bournemouth,1,2,0
Harry Kane 647,FW,1,0,2,0.4321210086345672,0.0,90,Southampton,Tottenham,0,2,0
Diego Costa 802,FW,0,0,2,0.2083899974822998,0.0,77,Chelsea,Sunderland,3,1,0
Jamie Vardy 755,FW,0,1,1,0.0650648027658462,0.1309559941291809,90,Everton,Leicester,2,3,1
Jordan Ayew 672,FW,1,0,2,0.0907320007681846,0.0,90,Newcastle United,Aston Villa,1,1,1
Adam Lallana 486,FWR,0,0,2,0.0861726030707359,0.0,77,Watford,Liverpool,3,0,0
Philippe Coutinho 488,FWL,0,0,1,0.0156814996153116,0.044235099107027,90,Watford,Liverpool,3,0,1
Roberto Firmino 482,FW,0,0,0,0.0,0.0,77,Watford,Liverpool,3,0,0
André Ayew 713,FW,0,0,3,0.2148350030183792,0.07029590010643,84,Swansea,West Ham,0,0,1
Anthony Martial 553,FW,0,0,2,0.0792985036969184,0.1070969998836517,90,Stoke,Manchester United,2,0,1
André Ayew 713,FW,0,0,1,0.0284828003495931,0.0,90,Swansea,West Bromwich Albion,1,0,0
Harry Kane 647,FW,2,0,4,0.9668390154838562,0.0977021008729934,90,Tottenham,Norwich,3,0,1
Jordan Ayew 672,FW,1,0,3,0.8118190169334412,0.0,90,Aston Villa,West Ham,1,1,0
Diego Costa 802,FW,2,0,4,0.7317109704017639,0.0,90,Chelsea,Watford,2,2,0
Jamie Vardy 755,FW,0,0,2,0.075629599392414,0.0,71,Liverpool,Leicester,1,0,0
Aleksandar Mitrovic 773,FW,0,0,3,0.5887050032615662,0.0,90,Newcastle United,Everton,0,1,0
Aleksandar Mitrovic 773,FW,0,0,3,0.2007959932088852,0.0,90,West Bromwich Albion,Newcastle United,1,0,0
Ayoze Pérez 770,FW,0,0,2,0.0588886998593807,0.3352819979190826,74,West Bromwich Albion,Newcastle United,1,0,4
Harry Kane 647,FW,0,1,3,0.2031749933958053,0.1231840029358863,90,Watford,Tottenham,1,2,2
Jordan Ayew 672,FW,0,0,2,0.1457139998674392,0.0118354996666312,90,Norwich,Aston Villa,2,0,1
Michail Antonio 531,FWR,1,0,3,0.6072559952735901,0.0,90,West Ham,Southampton,2,1,0
Jamie Vardy 755,FW,0,0,3,0.2086309939622879,0.0215003993362188,90,Leicester,Manchester City,0,0,1
Aleksandar Mitrovic 773,FW,0,0,4,0.3308770060539245,0.1016300022602081,90,Arsenal,Newcastle United,1,0,2
Jamie Vardy 755,FW,0,0,4,0.6059269905090332,0.0271536000072956,90,Leicester,Bournemouth,0,0,1
André Ayew 713,FW,0,0,1,0.1606670022010803,0.0768231004476547,83,Manchester United,Swansea,2,1,1
Jack Grealish 675,FWL,0,0,0,0.0,0.0,60,Sunderland,Aston Villa,3,1,0
Diego Costa 802,FW,1,1,2,0.835578978061676,0.5992479920387268,90,Crystal Palace,Chelsea,0,3,2
Harry Kane 647,FW,0,0,3,0.1659940034151077,0.0,90,Everton,Tottenham,1,1,0
Aleksandar Mitrovic 773,FW,1,1,3,0.9109579920768738,0.0577327013015747,90,Newcastle United,Manchester United,3,3,1
Jordan Ayew 672,FWL,0,0,4,0.2399619966745376,0.0967528969049453,90,Aston Villa,Crystal Palace,1,0,1
André Ayew 713,FW,1,0,3,0.1714780032634735,0.0,90,Swansea,Sunderland,2,4,0
Diego Costa 802,FW,0,0,4,0.3664819896221161,0.0419564992189407,90,Chelsea,West Bromwich Albion,2,2,1
Salomón Rondón 813,FW,0,0,1,0.0232363995164632,0.2199189960956573,70,Chelsea,West Bromwich Albion,2,2,3
Raheem Sterling 618,FW,0,0,6,0.3845080137252807,0.1291680037975311,90,Manchester City,Everton,0,0,2
Adam Lallana 486,FWL,0,0,1,0.0715480968356132,0.0942410007119178,90,Liverpool,Arsenal,3,3,3
Roberto Firmino 482,FW,2,0,5,0.2728930115699768,0.3238779902458191,90,Liverpool,Arsenal,3,3,2
Harry Kane 647,FW,0,0,4,0.5323899984359741,0.0995362028479576,90,Tottenham,Leicester,0,1,4
Jamie Vardy 755,FW,0,0,1,0.0926429033279419,0.0918115004897117,72,Tottenham,Leicester,0,1,1
Harry Kane 647,FW,1,0,8,1.2903599739074707,0.1109799966216087,90,Tottenham,Sunderland,4,1,2
Kelechi Iheanacho 620,FW,0,1,1,0.0208688993006944,0.0183300003409385,58,Manchester City,Crystal Palace,4,0,1
Aleksandar Mitrovic 773,FW,0,0,7,0.5629609823226929,0.3370800018310547,90,Newcastle United,West Ham,2,1,5
Michail Antonio 531,FWR,0,0,1,0.0218123998492956,0.0,72,Newcastle United,West Ham,2,1,0
Diego Costa 802,FW,1,1,3,1.623610019683838,0.0669374018907547,81,Chelsea,Everton,3,3,1
Jamie Vardy 755,FW,0,0,3,0.1660940051078796,0.5562760233879089,90,Aston Villa,Leicester,1,1,3
Jordan Ayew 672,FWL,0,0,1,0.0639228969812393,0.0660284012556076,90,Aston Villa,Leicester,1,1,1
Adam Lallana 486,FWL,0,0,2,0.1341460049152374,0.0921655967831611,78,Liverpool,Manchester United,0,1,2
James Milner 489,FWR,0,0,2,0.1262740045785904,0.1875839978456497,90,Liverpool,Manchester United,0,1,3
Roberto Firmino 482,FW,0,0,2,0.0376681983470916,0.2064619958400726,90,Liverpool,Manchester United,0,1,5
André Ayew 713,FW,0,0,2,0.0919201001524925,0.0,85,Swansea,Watford,1,0,0
James Milner 489,FWR,1,1,2,0.3880519866943359,0.1459600031375885,90,Norwich,Liverpool,4,5,2
Roberto Firmino 482,FW,2,1,4,0.6880480051040649,0.1232179999351501,90,Norwich,Liverpool,4,5,2
Harry Kane 647,FW,1,0,4,0.6889839768409729,0.0302284006029367,90,Crystal Palace,Tottenham,1,3,1
Anthony Martial 553,FW,0,0,1,0.0169901996850967,0.0232983995229005,90,Manchester United,Southampton,0,1,1
Jamie Vardy 755,FW,1,0,3,0.7200250029563904,0.1159700006246566,90,Leicester,Stoke,3,0,1
Jordan Ayew 672,FWL,0,0,3,0.1152810007333755,0.0161111000925302,90,West Bromwich Albion,Aston Villa,0,0,1
Salomón Rondón 813,FW,0,0,1,0.0534100010991096,0.0,64,West Bromwich Albion,Aston Villa,0,0,0
Aleksandar Mitrovic 773,FW,0,0,3,0.1685809940099716,0.0,90,Watford,Newcastle United,2,1,0
Michail Antonio 531,FWR,0,1,1,0.0457680001854896,0.5401269793510437,68,West Ham,Manchester City,2,2,1
André Ayew 713,FW,1,0,2,0.0650236010551452,0.0,90,Everton,Swansea,1,2,0
Diego Costa 802,FW,1,0,3,0.7460309863090515,0.0,70,Arsenal,Chelsea,0,1,0
Jamie Vardy 755,FW,2,0,2,0.5193340182304382,0.5051959753036499,90,Leicester,Liverpool,2,0,1
Roberto Firmino 482,FW,0,0,2,0.0698295012116432,0.1162040010094642,88,Leicester,Liverpool,2,0,1
Harry Kane 647,FW,2,0,6,1.4360699653625488,0.1759880036115646,90,Norwich,Tottenham,0,3,2
Kelechi Iheanacho 620,FW,0,0,0,0.0,0.0817636996507644,48,Sunderland,Manchester City,0,1,2
Jordan Ayew 672,FW,0,0,0,0.0,0.0,16,West Ham,Aston Villa,2,0,0
Michail Antonio 531,FWR,1,0,5,0.3053329885005951,0.0680544003844261,90,West Ham,Aston Villa,2,0,2
André Ayew 713,FWR,0,0,4,0.1725929975509643,0.1243830025196075,88,West Bromwich Albion,Swansea,1,1,1
Salomón Rondón 813,FW,1,0,3,0.9417330026626588,0.0302469003945589,90,West Bromwich Albion,Swansea,1,1,1
Ayoze Pérez 770,FW,0,0,1,0.0483791008591651,0.0,90,Everton,Newcastle United,3,0,0
Diego Costa 802,FW,0,0,4,0.3535790145397186,0.151881992816925,90,Watford,Chelsea,0,0,1
Jamie Vardy 755,FW,0,0,4,0.8610349893569946,0.6958820223808289,90,Manchester City,Leicester,1,3,2
Raheem Sterling 618,FW,0,0,2,0.0684985965490341,0.1800609976053238,90,Manchester City,Leicester,1,3,4
Aleksandar Mitrovic 773,FW,1,0,3,0.8896160125732422,0.0145190004259347,90,Newcastle United,West Bromwich Albion,1,0,1
Harry Kane 647,FW,0,0,2,0.4182209968566894,0.0404644012451171,90,Tottenham,Watford,1,0,1
Roberto Firmino 482,FW,1,1,5,0.5011900067329407,0.6392030119895935,90,Liverpool,Sunderland,2,2,3
Diego Costa 802,FW,1,0,6,1.2398699522018433,0.0,90,Chelsea,Manchester United,1,1,0
